Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1543,1,A,16.9,25.6,1,2002-08-02T00:00:00Z,2002,SE monsoon
1268,1,A,16.7,25.0,0,2002-08-12T00:00:00Z,2002,SE monsoon
1438,0,A,15.7,23.5,0,2002-08-17T00:00:00Z,2002,SE monsoon
1570,1,A,17.5,26.5,1,2002-08-22T00:00:00Z,2002,SE monsoon
1569,1,A,16.5,25.5,0,2002-08-23T00:00:00Z,2002,SE monsoon
1500,1,A,17.0,25.2,0,2002-08-29T00:00:00Z,2002,SE monsoon
1566,1,A,16.5,25.6,0,2002-09-01T00:00:00Z,2002,SE monsoon
1542,1,A,17.0,25.6,0,2002-09-04T00:00:00Z,2002,SE monsoon
1485,1,A,17.5,27.2,0,2002-09-10T00:00:00Z,2002,SE monsoon
1396,1,A,16.0,24.4,0,2002-09-11T00:00:00Z,2002,SE monsoon
1510,0,A,15.0,24.6,0,2002-09-11T00:00:00Z,2002,SE monsoon
1390,0,A,15.5,24.4,0,2002-09-12T00:00:00Z,2002,SE monsoon
1504,1,A,17.0,25.2,0,2002-09-12T00:00:00Z,2002,SE monsoon
1552,0,A,16.9,24.0,0,2002-09-12T00:00:00Z,2002,SE monsoon
1244,0,A,15.9,22.5,0,2002-09-18T00:00:00Z,2002,SE monsoon
1553,1,A,15.0,26.0,0,2002-09-18T00:00:00Z,2002,SE monsoon
1508,0,A,16.5,23.8,0,2002-09-19T00:00:00Z,2002,SE monsoon
1523,1,A,18.5,26.9,1,2002-09-23T00:00:00Z,2002,SE monsoon
1287,1,A,17.1,25.9,0,2003-06-08T00:00:00Z,2003,SE monsoon
1543,1,A,16.5,25.4,1,2003-06-15T00:00:00Z,2003,SE monsoon
1504,1,A,17.0,27.7,0,2003-06-17T00:00:00Z,2003,SE monsoon
1553,1,A,15.4,26.2,0,2003-06-17T00:00:00Z,2003,SE monsoon
1361,0,A,13.9,23.9,1,2003-06-18T00:00:00Z,2003,SE monsoon
1509,1,A,16.8,26.1,0,2003-06-22T00:00:00Z,2003,SE monsoon
1419,0,A,13.8,23.8,0,2003-06-24T00:00:00Z,2003,SE monsoon
1506,0,A,14.9,24.0,0,2003-06-25T00:00:00Z,2003,SE monsoon
1396,1,A,16.4,25.0,1,2003-06-28T00:00:00Z,2003,SE monsoon
1510,0,A,14.0,24.1,0,2003-06-28T00:00:00Z,2003,SE monsoon
1355,0,A,15.4,25.2,0,2003-06-29T00:00:00Z,2003,SE monsoon
1539,1,A,16.0,25.6,0,2003-07-09T00:00:00Z,2003,SE monsoon
1540,1,A,16.2,25.7,0,2003-07-09T00:00:00Z,2003,SE monsoon
1570,1,A,15.5,26.0,0,2003-07-09T00:00:00Z,2003,SE monsoon
1538,0,A,15.8,24.8,0,2003-07-10T00:00:00Z,2003,SE monsoon
1214,1,A,15.4,25.8,0,2003-07-11T00:00:00Z,2003,SE monsoon
1394,1,A,16.2,25.6,0,2003-07-15T00:00:00Z,2003,SE monsoon
1494,1,A,17.0,24.4,1,2003-07-15T00:00:00Z,2003,SE monsoon
1429,0,A,14.7,23.5,0,2003-07-31T00:00:00Z,2003,SE monsoon
1587,1,A,16.9,25.8,0,2003-07-31T00:00:00Z,2003,SE monsoon
1369,0,A,14.9,24.6,0,2003-08-04T00:00:00Z,2003,SE monsoon
1244,0,A,15.6,23.0,0,2003-08-07T00:00:00Z,2003,SE monsoon
